Category ID,Category Name,Category Slug,Parent Category,Description
cat_impresoras_y_consumibles_impresoras_comunes_y_multifuncionales,Impresoras Comunes y Multifuncionales,impresoras-comunes-y-multifuncionales,Impresoras y Consumibles,Productos de Impresoras Comunes y Multifuncionales
cat_impresoras_y_consumibles_impresoras_comunes_y_multifuncionales_chorro_de_tinta_continuo,Chorro de Tinta Continuo,chorro-de-tinta-continuo,Impresoras Comunes y Multifuncionales,Productos de Chorro de Tinta Continuo
cat_impresoras_y_consumibles_impresoras_comunes_y_multifuncionales_ink_jet,Ink Jet,ink-jet,Impresoras Comunes y Multifuncionales,Productos de Ink Jet
cat_impresoras_y_consumibles_impresoras_comunes_y_multifuncionales_láser,Láser,láser,Impresoras Comunes y Multifuncionales,Productos de Láser
"cat_impresoras_y_consumibles_impresoras_comunes_y_multifuncionales_multifuncionales_(impresora,_escáner,_copiadora)","Multifuncionales (Impresora, Escáner, Copiadora)","multifuncionales-impresora,-escáner,-copiadora",Impresoras Comunes y Multifuncionales,"Productos de Multifuncionales (Impresora, Escáner, Copiadora)"
cat_impresoras_y_consumibles_impresoras_comunes_y_multifuncionales_plotters,Plotters,plotters,Impresoras Comunes y Multifuncionales,Productos de Plotters
cat_impresoras_y_consumibles_consumibles_para_impresoras,Consumibles para Impresoras,consumibles-para-impresoras,Impresoras y Consumibles,Productos de Consumibles para Impresoras
cat_impresoras_y_consumibles_consumibles_para_impresoras_cartuchos_de_tinta,Cartuchos de Tinta,cartuchos-de-tinta,Consumibles para Impresoras,Productos de Cartuchos de Tinta
cat_impresoras_y_consumibles_consumibles_para_impresoras_papel_especial_para_plotters,Papel Especial para Plotters,papel-especial-para-plotters,Consumibles para Impresoras,Productos de Papel Especial para Plotters
cat_impresoras_y_consumibles_consumibles_para_impresoras_papel_fotográfico,Papel Fotográfico,papel-fotográfico,Consumibles para Impresoras,Productos de Papel Fotográfico
cat_impresoras_y_consumibles_consumibles_para_impresoras_toner,Toner,toner,Consumibles para Impresoras,Productos de Toner
cat_lentes,Lentes,lentes,,Productos de Lentes
cat_lentes_consumibles_fotográficos,Consumibles Fotográficos,consumibles-fotográficos,Lentes,Productos de Consumibles Fotográficos
cat_lentes_consumibles_fotográficos_baterías_y_cargadores,Baterías y Cargadores,baterías-y-cargadores,Consumibles Fotográficos,Productos de Baterías y Cargadores
cat_lentes_consumibles_fotográficos_fundas_y_mochilas_para_cámaras,Fundas y Mochilas para Cámaras,fundas-y-mochilas-para-cámaras,Consumibles Fotográficos,Productos de Fundas y Mochilas para Cámaras
cat_lentes_consumibles_fotográficos_películas_para_cámaras_instantáneas,Películas para Cámaras Instantáneas,películas-para-cámaras-instantáneas,Consumibles Fotográficos,Productos de Películas para Cámaras Instantáneas
cat_lentes_consumibles_fotográficos_tarjetas_de_memoria_para_cámaras_digitales,Tarjetas de Memoria para Cámaras Digitales,tarjetas-de-memoria-para-cámaras-digitales,Consumibles Fotográficos,Productos de Tarjetas de Memoria para Cámaras Digitales
cat_licenciamiento_y_servicios_en_la_nube,Licenciamiento y Servicios en la Nube,licenciamiento-y-servicios-en-la-nube,,Productos de Licenciamiento y Servicios en la Nube
cat_licenciamiento_y_servicios_en_la_nube_licenciamiento_microsoft,Licenciamiento Microsoft,licenciamiento-microsoft,Licenciamiento y Servicios en la Nube,Productos de Licenciamiento Microsoft
cat_licenciamiento_y_servicios_en_la_nube_licenciamiento_microsoft_microsoft_office,Microsoft Office,microsoft-office,Licenciamiento Microsoft,Productos de Microsoft Office
cat_licenciamiento_y_servicios_en_la_nube_licenciamiento_microsoft_sql_server,SQL Server,sql-server,Licenciamiento Microsoft,Productos de SQL Server
cat_licenciamiento_y_servicios_en_la_nube_licenciamiento_microsoft_windows_10/11,Windows 10/11,windows-10/11,Licenciamiento Microsoft,Productos de Windows 10/11
cat_licenciamiento_y_servicios_en_la_nube_licenciamiento_microsoft_windows_server,Windows Server,windows-server,Licenciamiento Microsoft,Productos de Windows Server
cat_licenciamiento_y_servicios_en_la_nube_servicios_microsoft_365,Servicios Microsoft 365,servicios-microsoft-365,Licenciamiento y Servicios en la Nube,Productos de Servicios Microsoft 365
cat_licenciamiento_y_servicios_en_la_nube_servicios_microsoft_365_microsoft_exchange,Microsoft Exchange,microsoft-exchange,Servicios Microsoft 365,Productos de Microsoft Exchange
cat_licenciamiento_y_servicios_en_la_nube_servicios_microsoft_365_microsoft_teams,Microsoft Teams,microsoft-teams,Servicios Microsoft 365,Productos de Microsoft Teams
cat_licenciamiento_y_servicios_en_la_nube_servicios_microsoft_365_onedrive_for_business,OneDrive for Business,onedrive-for-business,Servicios Microsoft 365,Productos de OneDrive for Business
cat_licenciamiento_y_servicios_en_la_nube_servicios_microsoft_365_sharepoint_online,SharePoint Online,sharepoint-online,Servicios Microsoft 365,Productos de SharePoint Online
cat_licenciamiento_y_servicios_en_la_nube_microsoft_azure,Microsoft Azure,microsoft-azure,Licenciamiento y Servicios en la Nube,Productos de Microsoft Azure
cat_licenciamiento_y_servicios_en_la_nube_microsoft_azure_almacenamiento_en_la_nube,Almacenamiento en la Nube,almacenamiento-en-la-nube,Microsoft Azure,Productos de Almacenamiento en la Nube
cat_licenciamiento_y_servicios_en_la_nube_microsoft_azure_bases_de_datos,Bases de Datos,bases-de-datos,Microsoft Azure,Productos de Bases de Datos
cat_licenciamiento_y_servicios_en_la_nube_microsoft_azure_máquinas_virtuales,Máquinas Virtuales,máquinas-virtuales,Microsoft Azure,Productos de Máquinas Virtuales
cat_licenciamiento_y_servicios_en_la_nube_microsoft_azure_servicios_de_ia,Servicios de IA,servicios-de-ia,Microsoft Azure,Productos de Servicios de IA
cat_materiales_de_oficina,Materiales de Oficina,materiales-de-oficina,,Productos de Materiales de Oficina
cat_materiales_de_oficina_papelería,Papelería,papelería,Materiales de Oficina,Productos de Papelería
cat_materiales_de_oficina_papelería_papel_a4,Papel A4,papel-a4,Papelería,Productos de Papel A4
cat_materiales_de_oficina_papelería_papel_fotocopia,Papel Fotocopia,papel-fotocopia,Papelería,Productos de Papel Fotocopia
cat_materiales_de_oficina_papelería_sobres,Sobres,sobres,Papelería,Productos de Sobres
cat_materiales_de_oficina_materiales_de_escritura,Materiales de Escritura,materiales-de-escritura,Materiales de Oficina,Productos de Materiales de Escritura
cat_materiales_de_oficina_materiales_de_escritura_bolígrafo,Bolígrafo,bolígrafo,Materiales de Escritura,Productos de Bolígrafo
cat_redes_y_comunicaciones,Redes y Comunicaciones,redes-y-comunicaciones,,Productos de Redes y Comunicaciones
cat_redes_y_comunicaciones_routers_y_switches,Routers y Switches,routers-y-switches,Redes y Comunicaciones,Productos de Routers y Switches
cat_redes_y_comunicaciones_routers_y_switches_routers_mesh,Routers Mesh,routers-mesh,Routers y Switches,Productos de Routers Mesh
cat_redes_y_comunicaciones_routers_y_switches_routers_wi-fi,Routers Wi-Fi,routers-wi-fi,Routers y Switches,Productos de Routers Wi-Fi
cat_redes_y_comunicaciones_routers_y_switches_switches_gestionables_y_no_gestionables,Switches Gestionables y No Gestionables,switches-gestionables-y-no-gestionables,Routers y Switches,Productos de Switches Gestionables y No Gestionables
cat_redes_y_comunicaciones_accesorios_de_redes,Accesorios de Redes,accesorios-de-redes,Redes y Comunicaciones,Productos de Accesorios de Redes
cat_redes_y_comunicaciones_accesorios_de_redes_adaptadores_y_repetidores,Adaptadores y Repetidores,adaptadores-y-repetidores,Accesorios de Redes,Productos de Adaptadores y Repetidores
cat_redes_y_comunicaciones_accesorios_de_redes_antenas_wi-fi,Antenas Wi-Fi,antenas-wi-fi,Accesorios de Redes,Productos de Antenas Wi-Fi
"cat_redes_y_comunicaciones_accesorios_de_redes_cables_de_red_(utp,_ftp)","Cables de Red (UTP, FTP)","cables-de-red-utp,-ftp",Accesorios de Redes,"Productos de Cables de Red (UTP, FTP)"
cat_redes_y_comunicaciones_accesorios_de_redes_firewalls_y_utm,Firewalls y UTM,firewalls-y-utm,Accesorios de Redes,Productos de Firewalls y UTM
cat_repuestos_y_accesorios,Repuestos y Accesorios,repuestos-y-accesorios,,Productos de Repuestos y Accesorios
cat_repuestos_y_accesorios_repuestos_para_laptops_y_pcs,Repuestos para Laptops y PCs,repuestos-para-laptops-y-pcs,Repuestos y Accesorios,Productos de Repuestos para Laptops y PCs
cat_repuestos_y_accesorios_repuestos_para_laptops_y_pcs_baterías,Baterías,baterías,Repuestos para Laptops y PCs,Productos de Baterías
cat_repuestos_y_accesorios_repuestos_para_laptops_y_pcs_cargadores,Cargadores,cargadores,Repuestos para Laptops y PCs,Productos de Cargadores
cat_repuestos_y_accesorios_repuestos_para_laptops_y_pcs_pantallas_lcd/led,Pantallas LCD/LED,pantallas-lcd/led,Repuestos para Laptops y PCs,Productos de Pantallas LCD/LED
cat_repuestos_y_accesorios_repuestos_para_laptops_y_pcs_teclados_y_touchpads,Teclados y Touchpads,teclados-y-touchpads,Repuestos para Laptops y PCs,Productos de Teclados y Touchpads
cat_repuestos_y_accesorios_repuestos_para_impresoras,Repuestos para Impresoras,repuestos-para-impresoras,Repuestos y Accesorios,Productos de Repuestos para Impresoras
cat_repuestos_y_accesorios_repuestos_para_impresoras_cabezales_de_impresión,Cabezales de Impresión,cabezales-de-impresión,Repuestos para Impresoras,Productos de Cabezales de Impresión
cat_repuestos_y_accesorios_repuestos_para_impresoras_cartuchos_de_tinta_y_toner,Cartuchos de Tinta y Toner,cartuchos-de-tinta-y-toner,Repuestos para Impresoras,Productos de Cartuchos de Tinta y Toner
cat_repuestos_y_accesorios_repuestos_para_impresoras_cintas,Cintas,cintas,Repuestos para Impresoras,Productos de Cintas
cat_repuestos_y_accesorios_repuestos_para_impresoras_rodillos_de_transferencia,Rodillos de Transferencia,rodillos-de-transferencia,Repuestos para Impresoras,Productos de Rodillos de Transferencia
cat_servidores_y_almacenamiento,Servidores y Almacenamiento,servidores-y-almacenamiento,,Productos de Servidores y Almacenamiento
cat_servidores_y_almacenamiento_servidores,Servidores,servidores,Servidores y Almacenamiento,Productos de Servidores
cat_servidores_y_almacenamiento_servidores_blade_servers,Blade Servers,blade-servers,Servidores,Productos de Blade Servers
cat_servidores_y_almacenamiento_servidores_servidores_rack,Servidores Rack,servidores-rack,Servidores,Productos de Servidores Rack
cat_servidores_y_almacenamiento_servidores_servidores_torre,Servidores Torre,servidores-torre,Servidores,Productos de Servidores Torre
cat_servidores_y_almacenamiento_almacenamiento,Almacenamiento,almacenamiento,Servidores y Almacenamiento,Productos de Almacenamiento
cat_servidores_y_almacenamiento_almacenamiento_nas_(network_attached_storage),NAS (Network Attached Storage),nas-network-attached-storage,Almacenamiento,Productos de NAS (Network Attached Storage)
cat_servidores_y_almacenamiento_almacenamiento_san_(storage_area_network),SAN (Storage Area Network),san-storage-area-network,Almacenamiento,Productos de SAN (Storage Area Network)
"cat_servidores_y_almacenamiento_almacenamiento_unidades_de_disco_(hdd,_ssd,_nvme)","Unidades de Disco (HDD, SSD, NVMe)","unidades-de-disco-hdd,-ssd,-nvme",Almacenamiento,"Productos de Unidades de Disco (HDD, SSD, NVMe)"
